ZONA,REGION,V1,V3,V5,V6,EFI,V8,V12,V14A1,V15,V16,V18A1,V18E,V18F,V18G,V18Q,V18I,V18J,V18K,V18L,V18M,V22,V19,V21,R4A,TamViv,A4,A5,A6,CondMig,NivInst,A22A
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,2.0,Acueducto del A y A,1.0,De la CNFL,Gas,4.0,No,Sí,No,No,Sí,No,No,Sí,No,No,SÍ,0,Sí,6 o más,Mujer,18 a 24,En unión libre o juntado(a),No migrante,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,2.0,Acueducto del A y A,1.0,De la CNFL,Gas,4.0,No,Sí,No,No,Sí,No,No,Sí,No,No,SÍ,0,Sí,6 o más,Hombre,25 a 34,En unión libre o juntado(a),No migrante,Secundaria completa,Sí
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,2.0,No,No,No,No,Sí,No,No,Sí,No,No,SÍ,0,No,2.0,Mujer,45 a 59,Soltero(a),Migrante interno,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,2.0,No,No,No,No,Sí,No,No,Sí,No,No,SÍ,0,No,2.0,Hombre,13 a 17,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,3.0,No,Sí,No,No,Sí,No,No,Sí,No,No,SÍ,0,No,3.0,Mujer,45 a 59,Separado/Divorciado/Viudo,Migrante interno,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,3.0,No,Sí,No,No,Sí,No,No,Sí,No,No,SÍ,0,No,3.0,Mujer,18 a 24,Soltero(a),No migrante,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,3.0,No,Sí,No,No,Sí,No,No,Sí,No,No,SÍ,0,No,3.0,Hombre,25 a 34,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,Cemento (lujado o no),Regular,4.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,5.0,No,No,No,No,Sí,No,No,No,Sí,Sí,SÍ,0,No,6 o más,Mujer,45 a 59,Soltero(a),Migrante externo,Sin nivel de instrucción,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,Cemento (lujado o no),Regular,4.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,5.0,No,No,No,No,Sí,No,No,No,Sí,Sí,SÍ,0,No,6 o más,Hombre,18 a 24,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,Cemento (lujado o no),Regular,4.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,5.0,No,No,No,No,Sí,No,No,No,Sí,Sí,SÍ,0,No,6 o más,Hombre,18 a 24,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,Cemento (lujado o no),Regular,4.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,5.0,No,No,No,No,Sí,No,No,No,Sí,Sí,SÍ,0,No,6 o más,Mujer,18 a 24,Soltero(a),No migrante,Secundaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,Cemento (lujado o no),Regular,4.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,5.0,No,No,No,No,Sí,No,No,No,Sí,Sí,SÍ,0,No,6 o más,Mujer,18 a 24,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,En fila o contigua,Otro,No,Cemento (lujado o no),Malo,2.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,Sí,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,No,4.0,Mujer,45 a 59,Separado/Divorciado/Viudo,Migrante externo,Primaria completa,No
Urbana,Central,En fila o contigua,Otro,No,Cemento (lujado o no),Malo,2.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,Sí,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,No,4.0,Mujer,18 a 24,Soltero(a),No migrante,Superior,Sí
Urbana,Central,En fila o contigua,Otro,No,Cemento (lujado o no),Malo,2.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,Sí,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,No,4.0,Mujer,18 a 24,Soltero(a),No migrante,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,Del ICE,Electricidad,5.0,No,No,No,No,Sí,No,No,Sí,No,No,No,0,No,6 o más,Hombre,35 a 44,En unión libre o juntado(a),Migrante externo,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,Del ICE,Electricidad,5.0,No,No,No,No,Sí,No,No,Sí,No,No,No,0,No,6 o más,Mujer,35 a 44,En unión libre o juntado(a),Migrante externo,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,Del ICE,Electricidad,5.0,No,No,No,No,Sí,No,No,Sí,No,No,No,0,No,6 o más,Mujer,18 a 24,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,Del ICE,Electricidad,5.0,No,No,No,No,Sí,No,No,Sí,No,No,No,0,No,6 o más,Hombre,13 a 17,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,Del ICE,Electricidad,5.0,No,No,No,No,Sí,No,No,Sí,No,No,No,0,No,6 o más,Hombre,13 a 17,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,Del ICE,Electricidad,5.0,No,No,No,No,Sí,No,No,Sí,No,No,No,0,No,6 o más,Mujer,5 a 12,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,Del ICE,Electricidad,5.0,No,No,No,No,Sí,No,No,Sí,No,No,No,0,No,6 o más,Mujer,5 a 12,Soltero(a),No migrante,Sin nivel de instrucción,No
Urbana,Central,En fila o contigua,Otro,No,Cemento (lujado o no),Malo,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,No,No,No,No,Sí,No,Sí,No,Sí,SÍ,0,No,3.0,Hombre,35 a 44,En unión libre o juntado(a),Migrante externo,Secundaria completa,No
Urbana,Central,En fila o contigua,Otro,No,Cemento (lujado o no),Malo,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,No,No,No,No,Sí,No,Sí,No,Sí,SÍ,0,No,3.0,Mujer,25 a 34,En unión libre o juntado(a),No migrante,Secundaria completa,No
Urbana,Central,En fila o contigua,Otro,No,Cemento (lujado o no),Malo,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,No,No,No,No,Sí,No,Sí,No,Sí,SÍ,0,No,3.0,Hombre,75 o más,Soltero(a),Migrante externo,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,Cemento (lujado o no),Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,2.0,No,No,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,No,2.0,Hombre,60 a 74,En unión libre o juntado(a),Migrante interno,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,Cemento (lujado o no),Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,2.0,No,No,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,No,2.0,Mujer,45 a 59,En unión libre o juntado(a),Migrante interno,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Bueno,2.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,1.0,No,Sí,No,No,No,No,No,Sí,No,No,SÍ,0,No,3.0,Mujer,25 a 34,Soltero(a),Migrante externo,Secundaria completa,Sí
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Bueno,2.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,1.0,No,Sí,No,No,No,No,No,Sí,No,No,SÍ,0,No,3.0,Mujer,5 a 12,Soltero(a),No migrante,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,4.0,No,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,Sí,4.0,Mujer,35 a 44,Casado(a),Migrante externo,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,4.0,No,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,Sí,4.0,Hombre,35 a 44,Casado(a),Migrante externo,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,4.0,No,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,Sí,4.0,Hombre,18 a 24,Soltero(a),Migrante externo,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,4.0,No,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,Sí,4.0,Mujer,13 a 17,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,Cemento (lujado o no),Malo,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,SÍ,0,Sí,3.0,Hombre,25 a 34,En unión libre o juntado(a),Migrante interno,Secundaria completa,Sí
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,Cemento (lujado o no),Malo,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,SÍ,0,Sí,3.0,Mujer,18 a 24,En unión libre o juntado(a),Migrante interno,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Bueno,2.0,Acueducto del A y A,1.0,De la CNFL,Gas,1.0,No,Sí,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,No,1.0,Mujer,18 a 24,Soltero(a),No migrante,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,Sí,No,No,Sí,No,No,Sí,Sí,No,SÍ,0,No,4.0,Mujer,45 a 59,Separado/Divorciado/Viudo,Migrante externo,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,Sí,No,No,Sí,No,No,Sí,Sí,No,SÍ,0,No,4.0,Mujer,45 a 59,Soltero(a),Migrante externo,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,Sí,No,No,Sí,No,No,Sí,Sí,No,SÍ,0,No,4.0,Mujer,13 a 17,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,Sí,No,No,Sí,No,No,Sí,Sí,No,SÍ,0,No,4.0,Mujer,5 a 12,Soltero(a),No migrante,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,4.0,Acueducto del A y A,2.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,No,SÍ,0,No,6 o más,Mujer,60 a 74,Soltero(a),Migrante externo,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,4.0,Acueducto del A y A,2.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,No,SÍ,0,No,6 o más,Mujer,35 a 44,Soltero(a),Migrante externo,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,4.0,Acueducto del A y A,2.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,No,SÍ,0,No,6 o más,Mujer,35 a 44,Soltero(a),Migrante externo,Superior,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,4.0,Acueducto del A y A,2.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,No,SÍ,0,No,6 o más,Hombre,25 a 34,Soltero(a),Migrante externo,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,4.0,Acueducto del A y A,2.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,No,SÍ,0,No,6 o más,Mujer,18 a 24,Soltero(a),No migrante,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,4.0,Acueducto del A y A,2.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,No,SÍ,0,No,6 o más,Hombre,13 a 17,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,1.0,Sí,No,No,No,No,Sí,No,Sí,No,Sí,SÍ,0,No,1.0,Mujer,45 a 59,Separado/Divorciado/Viudo,Migrante externo,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Bueno,2.0,Acueducto del A y A,2.0,De la CNFL,Gas,6.0,No,Sí,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,Sí,3.0,Hombre,45 a 59,Casado(a),No migrante,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Bueno,2.0,Acueducto del A y A,2.0,De la CNFL,Gas,6.0,No,Sí,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,Sí,3.0,Mujer,35 a 44,Casado(a),Migrante externo,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Bueno,2.0,Acueducto del A y A,2.0,De la CNFL,Gas,6.0,No,Sí,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,Sí,3.0,Hombre,25 a 34,Soltero(a),Migrante externo,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Bueno,1 o ninguno,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,No,SÍ,0,No,5.0,Mujer,25 a 34,Soltero(a),Migrante externo,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Bueno,1 o ninguno,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,No,SÍ,0,No,5.0,Hombre,13 a 17,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Bueno,1 o ninguno,Acueducto del A y A,1.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,No,SÍ,0,No,5.0,Hombre,5 a 12,Soltero(a),No migrante,Sin nivel de instrucción,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,4.0,Sí,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,Sí,4.0,Mujer,25 a 34,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,4.0,Sí,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,Sí,4.0,Hombre,25 a 34,En unión libre o juntado(a),Migrante externo,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,4.0,Sí,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,Sí,4.0,Mujer,18 a 24,En unión libre o juntado(a),No migrante,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,4.0,Sí,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,Sí,4.0,Mujer,18 a 24,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Bueno,4.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,5.0,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,SÍ,0,Sí,4.0,Hombre,45 a 59,Casado(a),Migrante externo,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Bueno,4.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,5.0,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,SÍ,0,Sí,4.0,Mujer,35 a 44,Casado(a),Migrante externo,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Bueno,4.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,5.0,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,SÍ,0,Sí,4.0,Hombre,18 a 24,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Bueno,2.0,Acueducto del A y A,1.0,De la CNFL,Gas,2.0,No,No,No,No,Sí,No,Sí,Sí,No,Sí,SÍ,0,Sí,3.0,Hombre,25 a 34,En unión libre o juntado(a),No migrante,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Bueno,2.0,Acueducto del A y A,1.0,De la CNFL,Gas,2.0,No,No,No,No,Sí,No,Sí,Sí,No,Sí,SÍ,0,Sí,3.0,Mujer,18 a 24,En unión libre o juntado(a),No migrante,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,4.0,No,Sí,No,No,Sí,Sí,No,Sí,No,Sí,SÍ,0,Sí,4.0,Hombre,35 a 44,Casado(a),Migrante interno,Sin nivel de instrucción,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,4.0,No,Sí,No,No,Sí,Sí,No,Sí,No,Sí,SÍ,0,Sí,4.0,Mujer,35 a 44,Casado(a),Migrante interno,Sin nivel de instrucción,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,4.0,No,Sí,No,No,Sí,Sí,No,Sí,No,Sí,SÍ,0,Sí,4.0,Mujer,18 a 24,Soltero(a),No migrante,Secundaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,4.0,No,Sí,No,No,Sí,Sí,No,Sí,No,Sí,SÍ,0,Sí,4.0,Hombre,13 a 17,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,2.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,2.0,No,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,No,2.0,Mujer,45 a 59,Separado/Divorciado/Viudo,Migrante externo,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,2.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,2.0,No,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,No,2.0,Hombre,5 a 12,Soltero(a),No migrante,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,2.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,No,6 o más,Mujer,45 a 59,En unión libre o juntado(a),Migrante externo,Sin nivel de instrucción,Sí
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,2.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,No,6 o más,Hombre,35 a 44,En unión libre o juntado(a),Migrante externo,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,2.0,De la CNFL,Gas,3.0,No,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,No,6 o más,Hombre,35 a 44,Soltero(a),Migrante externo,Secundaria completa,Sí
Urbana,Central,Otra,Otro,Sí,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,3.0,No,No,No,No,No,No,No,No,Sí,No,No,0,Sí,6 o más,Mujer,35 a 44,En unión libre o juntado(a),Migrante externo,Sin nivel de instrucción,No
Urbana,Central,Otra,Otro,Sí,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,3.0,No,No,No,No,No,No,No,No,Sí,No,No,0,Sí,6 o más,Hombre,25 a 34,En unión libre o juntado(a),Migrante externo,Primaria completa,No
Urbana,Central,Otra,Otro,Sí,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,3.0,No,No,No,No,No,No,No,No,Sí,No,No,0,Sí,6 o más,Hombre,13 a 17,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Otra,Otro,Sí,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,3.0,No,No,No,No,No,No,No,No,Sí,No,No,0,Sí,6 o más,Mujer,13 a 17,Soltero(a),No migrante,Primaria completa,No
Urbana,Central,Otra,Otro,Sí,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,3.0,No,No,No,No,No,No,No,No,Sí,No,No,0,Sí,6 o más,Mujer,5 a 12,Soltero(a),No migrante,Sin nivel de instrucción,No
Urbana,Central,Otra,Otro,Sí,"Mosaico, cerámica, terrazo",Regular,3.0,Acueducto del A y A,1.0,De la CNFL,Electricidad,3.0,No,No,No,No,No,No,No,No,Sí,No,No,0,Sí,6 o más,Hombre,5 a 12,Soltero(a),No migrante,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,3.0,Acueducto del A y A,3 o más,Del ICE,Electricidad,3.0,No,No,No,No,No,Sí,No,Sí,No,No,No,0,Sí,3.0,Hombre,60 a 74,En unión libre o juntado(a),Migrante externo,Secundaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,3.0,Acueducto del A y A,3 o más,Del ICE,Electricidad,3.0,No,No,No,No,No,Sí,No,Sí,No,No,No,0,Sí,3.0,Mujer,45 a 59,En unión libre o juntado(a),Migrante externo,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,3.0,Acueducto del A y A,3 o más,Del ICE,Electricidad,3.0,No,No,No,No,No,Sí,No,Sí,No,No,No,0,Sí,3.0,Mujer,18 a 24,Soltero(a),No migrante,Secundaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,Cemento (lujado o no),Regular,1 o ninguno,Acueducto del A y A,1.0,De la CNFL,Electricidad,2.0,No,No,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,No,4.0,Hombre,25 a 34,En unión libre o juntado(a),Migrante interno,Primaria completa,No
Urbana,Central,En fila o contigua,Block o ladrillo,No,Cemento (lujado o no),Regular,1 o ninguno,Acueducto del A y A,1.0,De la CNFL,Electricidad,2.0,No,No,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,No,4.0,Mujer,25 a 34,En unión libre o juntado(a),Migrante interno,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,1 o ninguno,Acueducto del A y A,1.0,De la CNFL,Electricidad,1.0,No,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,No,6 o más,Mujer,25 a 34,Soltero(a),Migrante interno,Primaria completa,No
Urbana,Central,Casa Independiente,Block o ladrillo,No,Cemento (lujado o no),Regular,1 o ninguno,Acueducto del A y A,1.0,De la CNFL,Electricidad,1.0,No,No,No,No,No,No,No,Sí,No,Sí,SÍ,0,No,6 o más,Hombre,5 a 12,Soltero(a),No migrante,Sin nivel de instrucción,No
Urbana,Central,En fila o contigua,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Regular,2.0,Acueducto del A y A,2.0,De la CNFL,Gas,2.0,Sí,No,No,No,Sí,Sí,No,Sí,No,Sí,SÍ,0,No,2.0,Mujer,45 a 59,Separado/Divorciado/Viudo,Migrante interno,Sin nivel de instrucción,No
Urbana,Central,En fila o contigua,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Regular,2.0,Acueducto del A y A,2.0,De la CNFL,Gas,2.0,Sí,No,No,No,Sí,Sí,No,Sí,No,Sí,SÍ,0,No,2.0,Mujer,5 a 12,Soltero(a),No migrante,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,6.0,No,Sí,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,No,6 o más,Hombre,60 a 74,Casado(a),Migrante externo,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,6.0,No,Sí,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,No,6 o más,Mujer,60 a 74,Casado(a),Migrante externo,Sin nivel de instrucción,No
Urbana,Central,Casa Independiente,Block o ladrillo,Sí,"Mosaico, cerámica, terrazo",Bueno,3.0,Acueducto del A y A,1.0,De la CNFL,Gas,6.0,No,Sí,No,No,Sí,No,No,Sí,No,Sí,SÍ,0,No,6 o más,Mujer,25 a 34,En unión libre o juntado(a),Migrante interno,Secundaria completa,No
